epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,711.408,0.82187,2.64361,1.16943,0.42048,0.37714,0.35936,0.25442,1.0513,2.09997,1.41378,0.00333267,0.00333267,0.00333267
2,1397.29,0.75176,1.8679,1.09332,0.51669,0.45734,0.46972,0.3442,0.9833,1.768,1.37846,0.00653402,0.00653402,0.00653402
3,2075.12,0.76882,1.82146,1.10241,0.5588,0.49329,0.5126,0.37356,0.98162,1.66024,1.37808,0.00960337,0.00960337,0.00960337
4,2749.34,0.75633,1.76171,1.09833,0.6336,0.53266,0.57735,0.43138,0.93306,1.47292,1.31704,0.009406,0.009406,0.009406
5,3423.05,0.71419,1.5962,1.07549,0.6638,0.57389,0.62607,0.47301,0.90322,1.33937,1.29227,0.009208,0.009208,0.009208
6,4096.26,0.68854,1.48992,1.06191,0.68518,0.59506,0.65446,0.50306,0.86831,1.26989,1.26673,0.00901,0.00901,0.00901
7,4769.61,0.67276,1.40877,1.05244,0.71484,0.61248,0.68154,0.53006,0.83884,1.18635,1.24382,0.008812,0.008812,0.008812
8,5443.22,0.66059,1.34798,1.04526,0.71867,0.63343,0.69998,0.54736,0.82619,1.13339,1.232,0.008614,0.008614,0.008614
9,6116.72,0.64802,1.29902,1.03917,0.72192,0.64725,0.71258,0.5591,0.81609,1.10202,1.22347,0.008416,0.008416,0.008416
10,6789.56,0.64007,1.25318,1.0339,0.75367,0.64177,0.72206,0.56907,0.80924,1.07954,1.21621,0.008218,0.008218,0.008218
11,7462.45,0.63315,1.21923,1.03039,0.75113,0.65433,0.73022,0.57656,0.8051,1.06141,1.21251,0.00802,0.00802,0.00802
12,8135.57,0.62809,1.19177,1.02719,0.74756,0.66567,0.73704,0.58245,0.80132,1.04526,1.20963,0.007822,0.007822,0.007822
13,8809.08,0.62274,1.15939,1.02394,0.74064,0.67747,0.74214,0.58732,0.79695,1.03103,1.20534,0.007624,0.007624,0.007624
14,9482.08,0.61646,1.13336,1.02138,0.75561,0.67386,0.74745,0.59233,0.7949,1.01839,1.20286,0.007426,0.007426,0.007426
15,10154.6,0.61269,1.11269,1.01908,0.7593,0.67891,0.7519,0.59635,0.79264,1.00674,1.20043,0.007228,0.007228,0.007228
16,10828,0.60786,1.09136,1.01676,0.75122,0.69172,0.75622,0.60046,0.78985,0.99637,1.19749,0.00703,0.00703,0.00703
17,11501.9,0.60389,1.06964,1.01383,0.76235,0.68845,0.76012,0.604,0.78758,0.98588,1.19498,0.006832,0.006832,0.006832
18,12175.9,0.60184,1.05279,1.01296,0.76367,0.696,0.7645,0.60884,0.78496,0.97444,1.192,0.006634,0.006634,0.006634
19,12849.7,0.59629,1.03439,1.00941,0.7677,0.7001,0.7685,0.61238,0.78199,0.96326,1.18851,0.006436,0.006436,0.006436
20,13523.5,0.59382,1.01554,1.0075,0.77426,0.70045,0.77215,0.61609,0.77943,0.95166,1.18546,0.006238,0.006238,0.006238
21,14196.9,0.59129,1.00037,1.00668,0.77674,0.70413,0.77583,0.62016,0.7773,0.9413,1.18295,0.00604,0.00604,0.00604
22,14871,0.58844,0.98608,1.00453,0.77628,0.7088,0.77879,0.62342,0.77557,0.93091,1.18082,0.005842,0.005842,0.005842
23,15545.1,0.58485,0.97441,1.00433,0.78443,0.70926,0.78223,0.62652,0.77326,0.92162,1.17832,0.005644,0.005644,0.005644
24,16215.1,0.58023,0.95901,1.00136,0.78696,0.71187,0.78506,0.62945,0.77158,0.91259,1.17685,0.005446,0.005446,0.005446
25,16885.3,0.57847,0.94415,1.00039,0.78947,0.7169,0.78892,0.63239,0.76904,0.90114,1.17457,0.005248,0.005248,0.005248
26,17560,0.57745,0.93134,0.99883,0.79242,0.71862,0.79238,0.63633,0.76684,0.89081,1.17202,0.00505,0.00505,0.00505
