epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,507.31,0.87126,3.49809,1.2513,0.21187,0.24118,0.15866,0.10418,1.14059,2.74064,1.57567,0.00333267,0.00333267,0.00333267
2,987.101,0.82015,2.51897,1.16985,0.37936,0.33969,0.30111,0.20985,1.0548,2.24846,1.42864,0.00653402,0.00653402,0.00653402
3,1458.5,0.82529,2.30766,1.14674,0.4486,0.37014,0.36934,0.26242,1.02867,2.07298,1.42008,0.00960337,0.00960337,0.00960337
4,1925.8,0.8103,2.14199,1.13424,0.52544,0.42352,0.45057,0.3286,0.99466,1.80733,1.36338,0.009406,0.009406,0.009406
5,2393.23,0.77221,1.95853,1.11093,0.5404,0.46759,0.49093,0.36212,0.97718,1.69493,1.349,0.009208,0.009208,0.009208
6,2860.64,0.75024,1.8577,1.0989,0.56859,0.49396,0.52691,0.38874,0.95314,1.60767,1.33259,0.00901,0.00901,0.00901
7,3328.73,0.73638,1.78282,1.09027,0.59729,0.50408,0.54733,0.40757,0.9386,1.54854,1.32533,0.008812,0.008812,0.008812
8,3795.88,0.72698,1.72869,1.08489,0.61251,0.51687,0.56345,0.4214,0.92979,1.50262,1.31681,0.008614,0.008614,0.008614
9,4263.7,0.71655,1.68462,1.0795,0.62386,0.5288,0.57798,0.43335,0.9184,1.46739,1.30733,0.008416,0.008416,0.008416
10,4731.9,0.70957,1.6423,1.07496,0.62206,0.53762,0.58346,0.43935,0.91202,1.44996,1.30214,0.008218,0.008218,0.008218
11,5199.84,0.70407,1.61194,1.07205,0.6269,0.54447,0.59133,0.44586,0.90747,1.43206,1.29774,0.00802,0.00802,0.00802
12,5667.96,0.70038,1.58873,1.06988,0.63405,0.54891,0.59618,0.45051,0.90465,1.41823,1.29587,0.007822,0.007822,0.007822
13,6135.34,0.69429,1.55888,1.06576,0.63653,0.55139,0.6004,0.454,0.90235,1.40822,1.29427,0.007624,0.007624,0.007624
14,6601.72,0.68961,1.53549,1.06373,0.63644,0.55803,0.6044,0.45789,0.89977,1.3979,1.2918,0.007426,0.007426,0.007426
15,7068.26,0.68694,1.5199,1.06272,0.64571,0.55857,0.60837,0.46096,0.8974,1.38947,1.29001,0.007228,0.007228,0.007228
16,7534.77,0.68204,1.49757,1.05984,0.64714,0.5599,0.61134,0.46381,0.89448,1.3801,1.28678,0.00703,0.00703,0.00703
17,8001.73,0.67898,1.48221,1.05754,0.65895,0.5577,0.61447,0.46712,0.89309,1.37096,1.28527,0.006832,0.006832,0.006832
18,8467.86,0.67792,1.46592,1.05674,0.66473,0.5563,0.61789,0.47009,0.89049,1.36186,1.28287,0.006634,0.006634,0.006634
19,8933.37,0.67251,1.44908,1.05395,0.66817,0.55921,0.62111,0.4735,0.88807,1.35281,1.28064,0.006436,0.006436,0.006436
20,9400.64,0.67033,1.43161,1.052,0.66832,0.56506,0.62497,0.47677,0.88673,1.3424,1.27874,0.006238,0.006238,0.006238
