epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,724.558,0.82187,2.64361,1.16943,0.42048,0.37714,0.35936,0.25442,1.0513,2.09997,1.41378,0.00333267,0.00333267,0.00333267
2,1422.88,0.75119,1.86684,1.09349,0.53191,0.46275,0.47863,0.34995,0.9836,1.73875,1.3638,0.00648269,0.00648269,0.00648269
3,2111.49,0.76742,1.81662,1.10239,0.58256,0.47558,0.51189,0.37245,0.98983,1.66304,1.3819,0.00944938,0.00944938,0.00944938
4,2793.76,0.75496,1.75569,1.09699,0.61772,0.53833,0.57601,0.4319,0.92981,1.47459,1.31095,0.009175,0.009175,0.009175
5,3475.63,0.71224,1.58881,1.07393,0.66135,0.57971,0.62925,0.47702,0.90125,1.33417,1.29258,0.0089,0.0089,0.0089
6,4158.85,0.68709,1.48185,1.06058,0.68033,0.59891,0.65501,0.50097,0.87509,1.25751,1.26876,0.008625,0.008625,0.008625
7,4841.55,0.66919,1.39845,1.05027,0.70285,0.63245,0.68476,0.53163,0.83964,1.18879,1.2451,0.00835,0.00835,0.00835
8,5523.18,0.65676,1.33646,1.04323,0.71404,0.64144,0.70435,0.54945,0.83272,1.14215,1.23611,0.008075,0.008075,0.008075
9,6204.53,0.64455,1.28593,1.03709,0.72815,0.64935,0.71566,0.56012,0.81891,1.10837,1.22478,0.0078,0.0078,0.0078
10,6887.01,0.63572,1.23615,1.03172,0.7405,0.65847,0.72606,0.56913,0.81577,1.08113,1.21979,0.007525,0.007525,0.007525
11,7569.17,0.6285,1.19976,1.02788,0.73575,0.66813,0.73229,0.57603,0.81109,1.06344,1.21506,0.00725,0.00725,0.00725
12,8251.99,0.62238,1.16964,1.02458,0.73971,0.67469,0.73905,0.58259,0.80631,1.0466,1.21135,0.006975,0.006975,0.006975
13,8934.6,0.61557,1.134,1.02055,0.74435,0.67896,0.74404,0.58791,0.80156,1.03077,1.20744,0.0067,0.0067,0.0067
